Date,Open,High,Low,Close,Adj Close,Volume
3/1/2010,29.392857,33.925713,29.350000,33.571430,29.141371,3038543200.00
4/1/2010,33.915714,38.922855,33.250000,37.298573,32.376675,3091782400.00
5/1/2010,37.691429,38.268570,28.464285,36.697144,31.854618,4520663700.00
6/1/2010,37.098572,39.858570,34.599998,35.932858,31.191195,4162813200.00
7/1/2010,36.328571,37.998573,34.228573,36.750000,31.900509,3917426100.00
8/1/2010,37.205715,37.754284,33.651428,34.728573,30.145821,2397280200.00
9/1/2010,35.352856,42.104286,35.182858,40.535713,35.186657,2962479800.00
10/1/2010,40.878571,45.571430,39.681427,42.997143,37.323280,3058644400.00
11/1/2010,43.174286,45.900002,42.537144,44.450001,38.584427,2377021500.00
12/1/2010,45.038570,46.665714,44.984287,46.080002,39.999332,1743308700.00
1/1/2011,46.520000,49.799999,46.405716,48.474285,42.077667,2710383900.00
2/1/2011,48.757141,52.128571,48.245716,50.458572,43.800110,2323987400.00
3/1/2011,50.781429,51.667141,46.608570,49.787144,43.217266,2826614700.00
4/1/2011,50.158573,50.732857,45.737144,50.018570,43.418163,2313457300.00
5/1/2011,49.962856,50.261429,47.060001,49.689999,43.132942,1728015100.00
6/1/2011,49.838570,50.304287,44.357143,47.952858,41.625027,2315962600.00
7/1/2011,47.992859,57.785713,47.742859,55.782856,48.421799,2663486700.00
8/1/2011,56.825714,57.071430,50.431427,54.975716,47.721169,4035649800.00
9/1/2011,55.117142,60.408573,52.354286,54.474285,47.285904,2994362000.00
10/1/2011,54.338570,60.957142,50.605713,57.825714,50.195084,3285356900.00
11/1/2011,56.772858,58.285713,51.902859,54.599998,47.395027,2240925400.00
12/1/2011,54.648571,58.441429,53.954285,57.857143,50.222366,1576633100.00
1/1/2012,58.485714,65.462860,58.428570,65.211426,56.606174,1714963600.00
2/1/2012,65.487144,78.230003,64.854286,77.491432,67.265724,2842138600.00
3/1/2012,78.309998,88.778572,73.745712,85.650002,74.347702,3896084500.00
4/1/2012,85.975716,92.000000,79.285713,83.425713,72.416931,3899747600.00
5/1/2012,83.557144,85.251427,74.597145,82.532860,71.641876,2776586400.00
6/1/2012,81.308571,84.285713,78.357140,83.428574,72.419403,1963956400.00
7/1/2012,83.532860,88.552856,81.428574,87.251427,75.737808,2227412600.00
8/1/2012,87.987144,97.267143,85.750000,95.034286,82.493645,2069051600.00
9/1/2012,95.108574,100.724289,93.714287,95.300003,83.079475,2299751300.00
10/1/2012,95.879997,96.678574,83.957146,85.045715,74.140106,3035707500.00
11/1/2012,85.459999,86.142860,72.250000,83.611427,72.889748,3232462800.00
12/1/2012,84.807144,84.941429,71.604286,76.024284,66.578217,3033188200.00
1/1/2013,79.117142,79.285713,62.142857,65.070000,56.985012,3280855900.00
2/1/2013,65.587143,69.277145,62.522858,63.057144,55.222260,2336008500.00
3/1/2013,62.571430,67.135712,59.857143,63.237144,55.702641,2294219200.00
4/1/2013,63.128571,63.607143,55.014286,63.254284,55.717735,2740872400.00
5/1/2013,63.494286,66.535713,59.842857,64.247147,56.592308,2361882600.00
6/1/2013,64.389999,64.918571,55.552856,56.647144,50.228096,1754634000.00
7/1/2013,57.527142,65.334282,57.317142,64.647141,57.321556,1634528700.00
8/1/2013,65.107140,73.391426,64.751427,69.602859,61.715725,2014584600.00
9/1/2013,70.442856,72.559998,63.888573,68.107140,60.788208,2157735300.00
10/1/2013,68.349998,77.035713,68.325714,74.671425,66.647102,1959433000.00
11/1/2013,74.860001,79.761429,73.197144,79.438568,70.901947,1306288900.00
12/1/2013,79.714287,82.162857,76.971428,80.145714,71.950768,1764349300.00
1/1/2014,79.382858,80.028572,70.507141,71.514282,64.201897,2191488600.00
2/1/2014,71.801430,78.741432,71.328575,75.177139,67.490189,1470091700.00
3/1/2014,74.774284,78.428574,74.687141,76.677139,69.248878,1250424700.00
4/1/2014,76.822861,85.632858,73.047142,84.298569,76.131958,1608765200.00
5/1/2014,84.571426,92.024284,82.904289,90.428574,81.668098,1433917100.00
6/1/2014,90.565712,95.050003,88.928574,92.930000,84.395966,1206934800.00
7/1/2014,93.519997,99.440002,92.570000,95.599998,86.820778,1035086000.00
8/1/2014,94.900002,102.900002,93.279999,102.500000,93.087128,937077000.00
9/1/2014,103.059998,103.739998,96.139999,100.750000,91.952950,1526420000.00
10/1/2014,100.589996,108.040001,95.180000,108.000000,98.569885,1360280200.00
11/1/2014,108.220001,119.750000,107.720001,118.930000,108.545540,820408200.00
12/1/2014,118.809998,119.250000,106.260002,110.379997,101.178932,1073594600.00
1/1/2015,111.389999,120.000000,104.629997,117.160004,107.393768,1305263400.00
2/1/2015,118.050003,133.600006,116.080002,128.460007,117.751808,1136535200.00
3/1/2015,129.250000,130.279999,121.629997,124.430000,114.507881,1138642100.00
